term,cur,prev,diff,ma7,z_like,total
삼성전자,11,6,5,3.286,2.743,75
현대차,3,0,3,0.571,1.383,21
lg전자,5,3,2,2.0,1.243,30
삼성,12,14,-2,7.571,1.18,308
엔비디아,2,1,1,0.429,0.95,10
sk하이닉스,2,0,2,0.571,0.814,18
amd,2,2,0,0.571,0.814,5
퀄컴,2,2,0,0.571,0.814,13
lg,5,3,2,3.0,0.732,244
샤오미,1,0,1,0.143,0.622,3
아이폰,2,0,2,0.857,0.593,13
갤럭시,2,2,0,0.857,0.593,23
애플,6,10,-4,4.429,0.506,63
맥북,1,0,1,0.286,0.465,7
에어팟,1,0,1,0.286,0.465,3
화웨이,1,1,0,0.286,0.465,4
tsmc,1,0,1,0.429,0.345,11
패널,1,0,1,0.429,0.345,10
폴더블,2,2,0,1.286,0.335,18
차세대,1,0,1,0.714,0.155,39
구글,1,2,-1,0.714,0.155,11
oled,5,3,2,4.714,0.09,128
삼성디스플레이,2,0,2,2.571,-0.219,46
